TypeName,WMC,NC,DIT,LCOM,FANIN,FANOUT
MemberResign,5,0,2,1.0,0,3
EntryEdit,62,0,2,0.39285714285714285,0,20
TemplateEdit,20,0,2,0.3,0,3
MediaFileEdit,20,0,3,0.2,0,5
EntryBean,58,0,0,0.0,2,5
CategoryRemove,19,0,2,0.2857142857142857,0,4
EntriesBean,24,0,0,0.09523809523809523,1,2
ThemeEdit,28,0,2,0.1875,0,9
MediaFileImageChooser,19,0,3,0.3076923076923077,0,4
MediaFileImageDim,4,0,3,0.5,0,4
EntryAddWithMediaFile,15,0,3,0.3,0,4
Bookmarks,37,0,2,0.1,0,4
MembersInvite,16,0,2,0.375,0,6
MediaFileSearchBean,37,0,0,0.0,1,2
BookmarksImport,13,0,2,0.5555555555555556,0,3
Templates,37,0,2,0.17647058823529413,0,7
Members,21,0,2,0.0,0,5
MediaFileBase,25,6,2,0.16666666666666666,0,5
BookmarkBean,14,0,0,0.0,1,1
FolderEdit,18,0,2,0.25,0,4
CommentsBean,33,0,0,0.3333333333333333,1,2
BookmarkEdit,17,0,2,0.25,0,4
MediaFileAdd,37,0,3,0.14285714285714285,0,9
FolderBean,6,0,0,0.0,1,1
TemplateEditBean,39,0,0,0.12121212121212122,1,3
Entries,25,0,2,0.3333333333333333,0,8
Comments,49,0,2,0.18181818181818182,0,13
CategoryBean,10,0,0,0.0,1,1
Maintenance,5,0,2,0.6,0,4
Pings,30,0,2,0.17647058823529413,0,9
EntryRemove,12,0,2,0.4444444444444444,0,6
CategoryEdit,18,0,2,0.4,0,5
WeblogConfig,22,0,2,0.21428571428571427,0,9
Categories,6,0,2,0.5,0,3
ThemeDataServlet,7,0,0,-1.0,0,3
CommentDataServlet,8,0,0,-1.0,0,8
UserDataServlet,7,0,0,0.0,0,5
RequestMappingFilter,6,0,0,0.6666666666666666,0,1
DeviceResolverRequestFilter,3,0,0,0.6666666666666666,0,3
WeblogEntryCommentForm,20,0,0,0.15,3,2
WeblogRequest,29,7,1,0.15384615384615385,14,2
WeblogResourceRequest,8,1,2,0.6,1,1
WeblogFeedRequest,30,0,2,0.1111111111111111,11,6
PlanetRequest,13,0,1,0.0,2,0
WeblogPreviewResourceRequest,11,0,3,0.5,1,3
WeblogCommentRequest,27,0,2,0.125,1,4
WeblogPreviewRequest,21,0,3,0.2857142857142857,2,6
WeblogMediaResourceRequest,11,0,2,0.42857142857142855,1,0
ParsedRequest,11,2,0,0.2222222222222222,1,4
ModDateHeaderUtil,8,0,0,1.0,0,3
InvalidRequestException,2,0,2,-1.0,0,0
WeblogTrackbackRequest,25,0,2,0.14285714285714285,1,3
WeblogSearchRequest,16,0,2,0.2,3,4
WeblogPageRequest,57,1,2,0.06666666666666667,9,9
SiteWideCache,53,0,1,0.4444444444444444,4,18
SaltCache,10,0,0,0.3333333333333333,3,6
PlanetCache,24,0,0,0.25,2,7
WeblogCacheWarmupJob,10,0,1,0.5,0,8
WeblogPageCache,30,0,0,0.25,3,7
WeblogFeedCache,21,0,0,0.2857142857142857,3,7
MobileDeviceRepository,7,0,0,-1.0,1,3
LiteDevice,6,0,1,0.0,1,0
DeviceResolver,1,1,0,-1.0,1,0
Device,3,1,0,-1.0,3,0
DeviceUtils,4,0,0,0.0,3,2
LiteDeviceResolver,26,0,1,0.0,0,1
TrackbackLinkbackCommentValidator,4,0,1,1.0,0,6
AkismetCommentValidator,4,0,1,0.6666666666666666,0,5
MathCommentAuthenticator,5,0,1,1.0,0,2
BannedwordslistCommentValidator,3,0,1,1.0,0,4
CommentValidator,2,5,0,-1.0,1,2
CommentAuthenticatorUtils,2,0,0,0.0,2,2
ExcessSizeCommentValidator,4,0,1,0.6666666666666666,0,4
DefaultCommentAuthenticator,2,0,1,-1.0,0,0
LdapCommentAuthenticator,13,0,1,0.4,0,3
ExcessLinksCommentValidator,5,0,1,0.6666666666666666,0,4
CommentAuthenticator,2,3,0,-1.0,2,0
CommentValidationManager,5,0,0,0.0,2,5
WeblogEntriesDayPager,27,0,2,0.25,0,7
WeblogEntriesPager,11,2,0,-1.0,0,0
WeblogEntriesListPager,13,1,2,0.0,0,7
UsersPager,14,0,2,0.0,0,5
SearchResultsFeedPager,14,0,2,0.0,1,5
WeblogEntriesPreviewPager,5,0,3,1.0,0,7
Pager,7,1,0,-1.0,0,0
WeblogEntriesPermalinkPager,20,1,2,0.3,0,8
MediaFilesPager,9,1,2,0.5,0,3
WeblogEntriesLatestPager,8,0,2,0.0,0,6
CommentsPager,12,1,2,0.0,0,7
AbstractWeblogEntriesPager,28,4,1,0.3333333333333333,0,5
PlanetEntriesPager,9,0,2,0.0,0,6
AbstractPager,18,7,1,0.15384615384615385,0,2
WeblogEntriesMonthPager,27,0,2,0.25,0,7
WeblogsPager,15,0,2,0.0,0,5
SearchResultsPager,19,0,1,0.4166666666666667,1,4
CommentServlet,31,0,0,0.6666666666666666,0,22
PreviewServlet,22,0,0,0.0,0,14
PreviewResourceServlet,13,0,0,0.0,0,8
ResourceServlet,13,0,0,0.0,0,7
PageServlet,69,0,0,0.0,0,21
RSDServlet,7,0,0,0.0,0,7
PlanetFeedServlet,19,0,0,0.0,0,11
FeedServlet,28,0,0,0.0,0,15
TrackbackServlet,21,0,0,0.4,0,12
MediaResourceServlet,9,0,0,0.0,0,6
CommentAuthenticatorServlet,4,0,0,0.6666666666666666,0,3
SearchServlet,13,0,0,0.0,0,16
RenderingException,3,0,2,-1.0,0,0
RendererManager,4,0,0,1.0,0,3
Renderer,1,1,0,-1.0,9,0
RendererFactory,1,1,0,-1.0,0,2
RequestMapper,1,1,0,-1.0,0,0
WeblogRequestMapper,59,0,1,0.0,0,3
RollerResourceLoader,10,0,0,0.75,0,4
VelocityRendererFactory,4,0,1,0.0,0,4
VelocityRenderer,6,0,1,0.0,0,3
ThemeResourceLoader,12,0,0,0.75,0,5
WebappResourceLoader,30,0,0,0.0,0,1
RollerVelocity,5,0,0,0.0,0,1
MobileDeviceRepository,10,0,0,0.0,10,1
MessageModel,5,0,1,0.5,0,2
PageModel,32,2,1,0.2222222222222222,0,10
CalendarModel,10,0,1,0.4,0,5
MenuModel,8,0,1,0.5,0,5
FeedModel,31,0,1,0.2631578947368421,0,7
FeedEntriesPager,6,0,3,0.0,0,2
FeedCommentsPager,6,0,3,0.0,0,2
FeedFilesPager,6,0,3,0.0,0,2
SearchResultsModel,22,0,2,0.13333333333333333,0,9
SiteModel,43,0,1,0.07692307692307693,0,15
UtilitiesModel,51,0,1,0.8095238095238095,0,10
ConfigModel,25,0,1,-1.0,0,2
PreviewURLModel,5,0,2,0.0,0,4
PlanetModel,18,0,1,0.25,0,10
SearchResultsFeedModel,19,0,1,0.14285714285714285,1,12
PreviewPageModel,10,0,2,0.0,0,5
ModelLoader,6,0,0,0.0,5,3
Model,2,11,0,-1.0,1,0
URLModel,71,1,1,0.11290322580645161,0,8
FeedURLS,3,0,0,-1.0,0,0
EntryFeedURLS,7,0,0,-1.0,0,0
CommentFeedURLS,4,0,0,-1.0,0,0
MediaFileFeedURLS,4,0,0,-1.0,0,0
PlanetConfig,21,0,3,0.4166666666666667,1,7
PlanetGroups,11,0,3,0.625,0,4
PlanetUIAction,2,3,2,0.0,0,3
PlanetGroupSubs,39,0,3,0.25,2,8
RefreshRollerPlanetTask,13,0,2,0.0,2,6
SyncWebsitesTask,19,0,2,0.0,1,12
PlanetURLStrategy,7,0,2,-1.0,0,1
WebloggerRomeFeedFetcher,11,0,2,1.0,1,8
AuthorizationServlet,14,0,0,0.0,0,2
AccessTokenServlet,6,0,0,0.0,0,2
RequestTokenServlet,6,0,0,0.0,0,2
OpenSearchServlet,6,0,0,-1.0,0,5
RollerAtomService,11,0,0,-1.0,2,8
RollerAtomHandlerFactory,1,0,0,-1.0,0,0
RollerAtomHandler,58,0,0,0.36,2,14
EntryCollection,48,0,0,0.0,1,13
MediaCollection,51,0,0,0.18181818181818182,1,11
TagDataServlet,19,0,0,0.0,0,9
MetaWeblogAPIHandler,37,0,2,0.36363636363636365,0,16
BloggerAPIHandler,29,1,1,0.2222222222222222,0,11
BaseAPIHandler,15,1,0,0.75,0,7
MediacastUtil,5,0,0,1.0,1,1
Trackback,11,0,0,0.0,1,6
GenericThrottle,14,0,0,0.0,1,4
ClientInfo,0,0,0,-1.0,1,0
MediacastException,6,0,2,0.0,0,0
Reflection,10,0,0,-1.0,14,2
PasswordUtility,23,0,0,-1.0,1,2
Utilities,110,0,0,0.6511627906976745,46,3
BannedwordslistChecker,10,0,0,-1.0,3,6
RollerMessages,19,0,0,0.17647058823529413,20,0
RollerMessage,5,0,0,0.0,4,0
LRUCache2,20,0,0,0.21428571428571427,0,2
Environment,1,1,0,-1.0,1,0
DefaultEnvironment,1,0,1,-1.0,0,0
CacheEntry,3,0,0,0.0,1,0
LRULinkedHashMap,2,0,0,0.0,0,0
StandaloneWebappClassLoader,5,0,0,0.0,1,1
LinkbackExtractor,44,0,0,0.16666666666666666,1,1
LinkbackCallback,23,0,0,0.0,0,0
URLUtilities,12,0,0,-1.0,20,1
Bannedwordslist,47,0,0,0.2,3,3
MediacastResource,8,0,0,0.0,2,0
I18nUtils,11,0,0,-1.0,3,0
WSSEUtilities,4,0,0,-1.0,2,1
IPBanList,18,0,0,0.3,3,2
ModifiedFile,3,0,0,0.0,1,0
I18nMessages,15,0,0,0.0,14,2
MailUtil,60,0,0,0.2727272727272727,7,16
MailingException,1,0,2,-1.0,0,0
TrackbackNotAllowedException,1,0,2,-1.0,0,0
HTMLSanitizer,66,0,0,0.1875,9,2
SanitizeResult,0,0,0,-1.0,1,0
LRUCacheImpl,12,1,1,0.0,0,1
LRULinkedHashMap,2,0,0,0.0,0,0
ExpiringLRUCacheFactoryImpl,3,0,1,1.0,0,1
Cache,6,1,0,-1.0,10,0
ExpiringCacheEntry,6,0,0,0.0,5,0
LazyExpiringCacheEntry,5,0,0,0.0,2,0
LRUCacheFactoryImpl,3,0,1,1.0,0,1
CacheManager,31,0,0,0.2,12,12
CacheHandler,8,2,0,-1.0,1,8
CachedContent,13,0,0,0.25,7,1
CacheFactory,1,2,0,-1.0,1,0
ExpiringLRUCacheImpl,7,0,2,0.5,0,2
PingConfig,32,0,0,0.2727272727272727,6,6
WebloggerRuntimeConfig,17,0,0,0.25,49,7
WebloggerConfig,17,0,0,0.25,67,1
PropertyDef,17,0,0,0.11764705882352941,3,0
RuntimeConfigDefsParser,11,0,0,-1.0,2,4
ConfigDef,13,0,0,0.0,4,1
RuntimeConfigDefs,6,0,0,0.0,6,1
DisplayGroup,11,0,0,0.18181818181818182,2,1
FileIOException,3,0,2,-1.0,0,0
MediaFileManager,25,1,0,-1.0,22,5
AbstractURLStrategy,22,1,1,0.2,0,2
WebloggerFactory,11,0,0,0.4,161,5
WeblogEntryManager,43,1,0,-1.0,49,7
FileContentManager,7,1,0,-1.0,4,2
WebloggerProvider,2,1,0,-1.0,3,0
Weblogger,27,1,0,-1.0,36,0
MultiWeblogURLStrategy,58,1,2,-1.0,1,4
TestTask,8,0,2,1.0,1,1
PreviewURLStrategy,39,0,3,0.0,0,4
HitCountQueue,8,0,0,0.3333333333333333,4,6
GuiceWebloggerProvider,4,0,1,0.5,0,3
WebloggerImpl,31,1,1,0.0,0,22
OAuthManager,11,1,0,-1.0,8,0
URLStrategy,30,1,0,-1.0,36,1
FileNotFoundException,3,0,2,-1.0,0,0
MailProvider,12,0,0,0.0,2,1
InitializationException,2,0,2,-1.0,0,0
UserManager,31,1,0,-1.0,28,3
BootstrapException,2,0,2,-1.0,0,0
PropertiesManager,6,1,0,-1.0,9,1
BookmarkManager,12,1,0,-1.0,9,3
DatabaseProvider,19,0,0,0.0,3,1
WeblogManager,22,1,0,-1.0,17,4
