component,smell_count
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/editor/Pings.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/util/UIAction.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/util/RegexUtil.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/util/StandaloneWebappClassLoader.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/business/pings/PingQueueProcessor.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/util/Bannedwordslist.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/core/Profile.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/core/filters/CustomOpenIDAuthenticationProcessingFilter.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/admin/UserAdmin.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/core/CreateWeblog.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/admin/PingTargetEdit.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/planet/pojos/Subscription.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/velocity/RollerResourceLoader.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/plugins/comments/MathCommentAuthenticator.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/WeblogRequestMapper.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/model/PlanetModel.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/webservices/tagdata/TagDataServlet.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/planet/util/MailUtil.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/servlets/CommentServlet.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/servlets/FeedServlet.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/planet/pojos/SubscriptionEntry.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/planet/tasks/StaticPlanetModel.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/editor/EntriesBean.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/editor/EntryBean.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/editor/EntryRemove.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/core/MainMenu.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/pojos/GlobalPermission.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/core/security/CustomUserRegistry.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/admin/CacheInfo.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/admin/GlobalCommentManagement.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/editor/Bookmarks.java,4
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/business/themes/ThemeMetadataParser.java,3
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/editor/TemplateEdit.java,3
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/editor/StylesheetEdit.java,3
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/tags/StringTagSupport.java,3
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/business/runnable/HitCountProcessingJob.java,3
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/util/WSSEUtilities.java,3
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/business/startup/SQLScriptRunner.java,3
