Package Name,Class Name,LOC,NOM,WMC,NOF,FAN-IN,FAN-OUT,LCOM
org.apache.roller.weblogger.business,PropertiesManager,30,6,6,0,12,1,-1.0
org.apache.roller.weblogger.business,TestTask,25,8,8,1,2,1,1.0
org.apache.roller.weblogger.business,URLStrategy,110,30,30,0,36,1,-1.0
org.apache.roller.weblogger.business,UserManager,178,31,31,0,35,3,-1.0
org.apache.roller.weblogger.business,WeblogEntryManager,245,43,43,0,58,7,-1.0
org.apache.roller.weblogger.business,Weblogger,104,27,27,0,37,0,-1.0
org.apache.roller.weblogger.business,WebloggerFactory,74,5,11,2,201,5,0.4
org.apache.roller.weblogger.business,WebloggerImpl,270,27,31,24,0,22,0.0
org.apache.roller.weblogger.business,WebloggerProvider,13,2,2,0,3,0,-1.0
org.apache.roller.weblogger.business,WeblogManager,114,22,22,0,24,4,-1.0
org.apache.roller.weblogger.business,BookmarkTest,168,8,9,3,0,7,0.0
org.apache.roller.weblogger.business,CommentTest,168,5,5,4,0,5,0.0
org.apache.roller.weblogger.business,CustomTemplateRenditionTest,84,3,3,6,0,7,0.0
org.apache.roller.weblogger.business,FileContentManagerTest,110,4,4,3,0,8,0.75
org.apache.roller.weblogger.business,FolderCRUDTest,69,3,3,3,0,6,0.0
org.apache.roller.weblogger.business,FolderFunctionalityTest,121,7,7,7,0,6,0.0
org.apache.roller.weblogger.business,HitCountTest,189,7,8,3,0,6,0.0
org.apache.roller.weblogger.business,MediaFileTest,799,17,23,2,0,6,0.2941176470588235
org.apache.roller.weblogger.business,PermissionTest,181,6,6,3,0,7,0.0
org.apache.roller.weblogger.business,PingsTest,209,7,7,4,0,8,0.0
org.apache.roller.weblogger.business,PlanetManagerLocalTest,101,3,4,3,0,10,0.6666666666666666
org.apache.roller.weblogger.business,PropertiesTest,38,3,3,1,0,4,1.0
org.apache.roller.weblogger.business,SQLScriptRunnerTest,52,4,8,1,1,5,0.75
org.apache.roller.weblogger.business,TaskLockTest,28,3,3,1,0,4,1.0
org.apache.roller.weblogger.business,ThemeManagerTest,15,3,3,1,0,3,1.0
org.apache.roller.weblogger.business,UserTest,143,5,8,1,0,5,1.0
org.apache.roller.weblogger.business,WeblogCategoryCRUDTest,106,5,5,3,0,6,0.0
org.apache.roller.weblogger.business,WeblogCategoryFunctionalityTest,137,7,7,7,0,7,0.0
org.apache.roller.weblogger.business,WeblogEntryTest,724,18,35,3,0,5,0.1111111111111111
org.apache.roller.weblogger.business,WeblogPageTest,90,4,4,4,0,6,0.0
org.apache.roller.weblogger.business,WeblogStatsTest,79,6,6,11,0,6,0.5
org.apache.roller.weblogger.business,WeblogTest,142,4,4,2,0,5,0.0
org.apache.roller.weblogger.business.jpa,JPAAutoPingManagerImpl,65,12,15,3,1,8,0.1666666666666666
org.apache.roller.weblogger.business.jpa,JPABookmarkManagerImpl,163,15,29,3,1,6,0.1333333333333333
org.apache.roller.weblogger.business.jpa,JPAMediaFileManagerImpl,586,30,88,4,2,15,0.0666666666666666
org.apache.roller.weblogger.business.jpa,JPAOAuthManagerImpl,258,20,36,4,2,4,0.0
org.apache.roller.weblogger.business.jpa,JPAPersistenceStrategy,269,19,31,3,15,2,0.0
org.apache.roller.weblogger.business.jpa,JPAPingQueueManagerImpl,45,8,9,2,1,3,0.25
org.apache.roller.weblogger.business.jpa,JPAPingTargetManagerImpl,75,10,15,1,1,2,0.4
