TypeName,WMC,NC,DIT,LCOM,FANIN,FANOUT
PingQueueTask,13,0,0,0.0,1,4
PingTargetManager,8,0,0,-1.0,10,1
WeblogUpdatePinger,17,0,0,0.4,3,5
PingResult,6,0,0,0.0,1,0
AutoformatPlugin,10,0,1,1.0,0,1
HTMLSubsetPlugin,6,0,1,0.8,0,2
LinkMarkupPlugin,8,0,1,1.0,0,2
WeblogEntryCommentPlugin,4,3,0,-1.0,0,1
ConvertLineBreaksPlugin,11,0,1,0.6,1,3
EncodePreTagsPlugin,7,0,1,0.8,2,3
ObfuscateEmailPlugin,5,0,1,1.0,0,3
SmileysPlugin,17,0,1,0.4285714285714285,1,4
WeblogEntryPlugin,4,4,0,-1.0,2,2
EncodePreTagsPluginTest,4,0,0,-1.0,0,1
PluginManager,6,1,0,-1.0,10,3
PluginManagerImpl,21,0,1,0.2222222222222222,1,7
CommentPluginsTest,3,0,0,1.0,0,4
ContinuousWorkerThread,6,0,1,0.6,0,1
HitCountProcessingJob,7,0,1,1.0,1,6
Job,3,1,0,-1.0,2,0
ResetHitCountsTask,13,0,2,0.0,1,5
RollerTask,14,1,0,0.7777777777777778,5,2
RollerTaskWithLeasing,5,2,1,0.0,4,2
ScheduledEntriesTask,15,0,2,0.0,1,7
TaskRunner,4,0,0,-1.0,0,1
TaskScheduler,14,0,0,0.0,1,5
ThreadManager,9,1,0,-1.0,6,2
ThreadManagerImpl,14,0,1,0.5,0,6
WorkerThread,5,1,0,0.0,1,3
IndexManager,11,0,0,-1.0,16,3
SearchResultList,5,0,0,0.0,3,0
SearchResultMap,5,0,0,0.0,0,0
IndexManagerTest,6,0,0,0.0,1,11
AddEntryOperation,4,0,2,0.0,0,4
FieldConstants,0,0,0,-1.0,7,0
IndexOperation,16,2,0,0.5,1,5
IndexUtil,4,0,0,-1.0,3,1
LuceneIndexManager,47,0,0,0.12,12,13
ReadFromIndexOperation,2,1,1,1.0,0,1
RebuildWebsiteIndexOperation,9,0,2,0.0,0,8
ReIndexEntryOperation,4,0,2,0.0,0,5
RemoveEntryOperation,3,0,2,0.0,0,5
RemoveWebsiteIndexOperation,6,0,2,0.0,0,6
SearchOperation,15,0,2,0.1818181818181818,1,4
WriteToIndexOperation,2,5,1,1.0,0,1
ClasspathDatabaseScriptProvider,2,0,1,-1.0,2,1
DatabaseInstaller,86,0,0,0.0,1,3
DatabaseScriptProvider,1,1,0,-1.0,1,0
SQLScriptRunner,20,0,0,0.1818181818181818,5,0
StartupException,7,0,0,0.0,2,0
WebloggerStartup,16,0,0,0.1818181818181818,10,6
SharedTheme,15,1,0,0.5333333333333333,6,1
SharedThemeFromDir,39,0,1,0.0,0,9
SharedThemeResourceFromDir,10,0,0,0.2,1,1
SharedThemeTemplate,27,0,0,0.1481481481481481,1,1
SharedThemeTemplateRendition,15,0,0,0.3076923076923077,2,1
ThemeInitializationException,4,0,0,-1.0,0,0
ThemeManager,6,1,0,-1.0,14,2
ThemeManagerImpl,39,0,1,0.0,1,16
ThemeMetadata,21,0,0,0.4761904761904761,2,1
ThemeMetadataParser,25,0,0,-1.0,1,3
ThemeMetadataTemplate,17,0,0,0.4705882352941176,3,1
ThemeMetadataTemplateRendition,6,0,0,0.5,3,0
ThemeNotFoundException,4,0,0,-1.0,0,0
ThemeParsingException,4,0,0,-1.0,0,0
WeblogCustomTheme,19,0,0,-1.0,0,6
WeblogSharedTheme,27,0,0,0.0,0,8
PingConfig,32,0,0,0.2727272727272727,6,6
WebloggerConfig,17,0,0,0.25,71,1
WebloggerRuntimeConfig,17,0,0,0.25,49,7
ConfigDef,13,0,0,0.0,4,1
DisplayGroup,11,0,0,0.1818181818181818,2,1
PropertyDef,17,0,0,0.1176470588235294,3,0
RuntimeConfigDefs,6,0,0,0.0,6,1
RuntimeConfigDefsParser,11,0,0,-1.0,2,4
PlanetURLStrategy,7,0,0,-1.0,0,1
WebloggerRomeFeedFetcher,11,0,0,1.0,1,8
WebloggerRomeFeedFetcherTest,3,0,0,0.6666666666666666,0,4
RefreshRollerPlanetTask,13,0,0,0.0,3,6
SyncWebsitesTask,19,0,0,0.0,2,12
PlanetConfig,21,0,1,0.4166666666666667,1,7
PlanetGroups,11,0,1,0.625,0,4
PlanetGroupSubs,39,0,1,0.25,2,8
PlanetUIAction,2,3,0,0.0,0,3
AutoPing,14,0,0,0.1818181818181818,9,3
CommentSearchCriteria,18,0,0,0.5,7,2
